combination_ID,date,arbitrage_type,pair_1,price_1,amount_1,pair_2,price_2,amount_2,pair_3,price_3,amount_3,initial_amount,OP_return,Profitable,exe_time,executed_return,tri_id
USDT_BTC_ALGO,10-Apr-2023 00:00:00.249522,BUY_BUY_SELL, BTC/USDT, 28438.0, 0.0005264083268865603,ALGO/BTC, 7.65e-06, 68.67392290624669, ALGO/USDT, 0.21744, 68.67392290624669,15, 14.90259288114081, False,0.7886438369750977,,BBS_BTC/USDT_ALGO/BTC_ALGO/USDT
USDT_BTC_ALGO,10-Apr-2023 00:00:00.983583,BUY_SELL_SELL, ALGO/USDT, 0.2177, 68.76435461644465,ALGO/BTC, 7.64e-06, 68.76435461644465, BTC/USDT, 28436.0, 0.0005243089499310978,15, 14.879430801640217, False,0.7310512065887451,,BSS_ALGO/USDT_ALGO/BTC_BTC/USDT
USDT_BTC_CCD,10-Apr-2023 00:00:01.843082,BUY_BUY_SELL, BTC/USDT, 28438.0, 0.0005264083268865603,CCD/BTC, 3.2e-07, 1641.7359694774598, CCD/USDT, 0.0089738, 1641.7359694774598,15, 14.703145022411036, False,0.857208251953125,,BBS_BTC/USDT_CCD/BTC_CCD/USDT
USDT_BTC_CCD,10-Apr-2023 00:00:02.546490,BUY_SELL_SELL, CCD/USDT, 0.0090039, 1662.9216765388555,CCD/BTC, 3.1e-07, 1662.9216765388555, BTC/USDT, 28436.0, 0.0005144747082875911,15.0, 14.60034359925621, False,0.7044084072113037,,BSS_CCD/USDT_CCD/BTC_BTC/USDT
USDT_BTC_NEO,10-Apr-2023 00:00:03.348723,BUY_BUY_SELL, BTC/USDT, 28438.0, 0.0005264083268865603,NEO/BTC, 0.00043122, 1.2183004272361837, NEO/USDT, 12.243, 1.2183004272361837,15, 14.885820826391292, False,0.7992379665374756,,BBS_BTC/USDT_NEO/BTC_NEO/USDT
USDT_BTC_NEO,10-Apr-2023 00:00:04.184914,BUY_SELL_SELL, NEO/USDT, 12.262, 1.2208448866416572,NEO/BTC, 0.00043041, 1.2208448866416572, BTC/USDT, 28447.0, 0.0005244129199641169,15, 14.888138385550794, False,0.8352136611938477,,BSS_NEO/USDT_NEO/BTC_BTC/USDT
USDT_ETH_EOS,10-Apr-2023 00:00:04.909020,BUY_BUY_SELL, ETH/USDT, 1867.1, 0.00801778158641744,EOS/ETH, 0.0006461, 12.3846866170014, EOS/USDT, 1.2048, 12.3846866170014,15, 14.891228295290961, False,0.7240903377532959,,BBS_ETH/USDT_EOS/ETH_EOS/USDT
USDT_ETH_EOS,10-Apr-2023 00:00:05.628029,BUY_SELL_SELL, EOS/USDT, 1.2063, 12.409848296443672,EOS/ETH, 0.000645, 12.409848296443672, ETH/USDT, 1867.0, 0.007988343446903756,15, 14.884408740938573, False,0.7170193195343018,,BSS_EOS/USDT_EOS/ETH_ETH/USDT
USDT_BTC_XLM,10-Apr-2023 00:00:06.435161,BUY_BUY_SELL, BTC/USDT, 28456.0, 0.0005260753443913411,XLM/BTC, 3.68e-06, 142.66934611482563, XLM/USDT, 0.1045, 142.66934611482563,15, 14.879128775661279, False,0.8061630725860596,,BBS_BTC/USDT_XLM/BTC_XLM/USDT
USDT_BTC_XLM,10-Apr-2023 00:00:07.241953,BUY_SELL_SELL, XLM/USDT, 0.10461, 143.1029538285059,XLM/BTC, 3.67e-06, 143.1029538285059, BTC/USDT, 28457.0, 0.0005241374648695154,15, 14.885549078116217, False,0.8077635765075684,,BSS_XLM/USDT_XLM/BTC_BTC/USDT
USDT_ETH_ETH2X,10-Apr-2023 00:00:08.057239,BUY_BUY_SELL, ETH/USDT, 1867.4, 0.008016493520402698,ETH2X/ETH, 0.99498, 0.008040825477257726, ETH2X/USDT, 1651.7, 0.008040825477257726,15, 13.254469377905012, False,0.812286376953125,,BBS_ETH/USDT_ETH2X/ETH_ETH2X/USDT
USDT_ETH_ETH2X,10-Apr-2023 00:00:08.737388,BUY_SELL_SELL, ETH2X/USDT, 1860.9, 0.008044619810873233,ETH2X/ETH, 0.95201, 0.008044619810873233, ETH/USDT, 1867.3, 0.007643241389137127,15.0, 14.243680196643886, False,0.679149866104126,,BSS_ETH2X/USDT_ETH2X/ETH_ETH/USDT
USDT_BTC_XTZ,10-Apr-2023 00:00:09.574016,BUY_BUY_SELL, BTC/USDT, 28461.0, 0.0005259829240012649,XTZ/BTC, 3.89e-05, 13.494369104196975, XTZ/USDT, 1.1035, 13.494369104196975,15, 14.861254233868399, False,0.8350727558135986,,BBS_BTC/USDT_XTZ/BTC_XTZ/USDT
USDT_BTC_XTZ,10-Apr-2023 00:00:10.403535,BUY_SELL_SELL, XTZ/USDT, 1.1051, 13.546285404035833,XTZ/BTC, 3.88e-05, 13.546285404035833, BTC/USDT, 28457.0, 0.0005245446819292372,15, 14.897114077632983, False,0.8295454978942871,,BSS_XTZ/USDT_XTZ/BTC_BTC/USDT
USDT_XAUT_ETH,10-Apr-2023 00:00:11.136806,BUY_BUY_SELL, XAUT/USDT, 2009.9, 0.007448131747848152,ETH/XAUT, 0.93247, 0.007971554564063675, ETH/USDT, 1867.3, 0.007971554564063675,15, 14.855513269801149, False,0.7322745323181152,,BBS_XAUT/USDT_ETH/XAUT_ETH/USDT
USDT_XAUT_ETH,10-Apr-2023 00:00:11.879849,BUY_SELL_SELL, ETH/USDT, 1867.4, 0.008016493520402698,ETH/XAUT, 0.92823, 0.008016493520402698, XAUT/USDT, 2007.3, 0.0074262674808825094,15, 14.87693322094671, False,0.7400479316711426,,BSS_ETH/USDT_ETH/XAUT_XAUT/USDT
USDT_BTC_TRX,10-Apr-2023 00:00:12.702213,BUY_BUY_SELL, BTC/USDT, 28461.0, 0.0005259829240012649,TRX/BTC, 2.35e-06, 223.37487580989887, TRX/USDT, 0.066719, 223.37487580989887,15, 14.873541642482321, False,0.8203608989715576,,BBS_BTC/USDT_TRX/BTC_TRX/USDT
USDT_BTC_TRX,10-Apr-2023 00:00:13.434263,BUY_SELL_SELL, TRX/USDT, 0.066761, 224.23271071433922,TRX/BTC, 2.34e-06, 224.23271071433922, BTC/USDT, 28458.0, 0.0005236551339854106,15, 14.8723734473509, False,0.7330505847930908,,BSS_TRX/USDT_TRX/BTC_BTC/USDT
USDT_ETH_LEO,10-Apr-2023 00:00:14.216874,BUY_BUY_SELL, ETH/USDT, 1867.4, 0.008016493520402698,LEO/ETH, 0.0018122, 4.414777912681764, LEO/USDT, 3.372, 4.414777912681764,15, 14.856857859319781, False,0.7836117744445801,,BBS_ETH/USDT_LEO/ETH_LEO/USDT
USDT_ETH_LEO,10-Apr-2023 00:00:14.951393,BUY_SELL_SELL, LEO/USDT, 3.4013, 4.401258342398495,LEO/ETH, 0.0017532, 4.401258342398495, ETH/USDT, 1867.3, 0.007700853553641255,15, 14.351044233032887, False,0.7305421829223633,,BSS_LEO/USDT_LEO/ETH_ETH/USDT
USDT_BTC_AMPL,10-Apr-2023 00:00:15.767241,BUY_BUY_SELL, BTC/USDT, 28460.0, 0.0005260014054813773,AMPL/BTC, 3.801e-05, 13.81082353776413, AMPL/USDT, 1.0734, 13.81082353776413,15, 14.794888909465143, False,0.8148407936096191,,BBS_BTC/USDT_AMPL/BTC_AMPL/USDT
USDT_BTC_AMPL,10-Apr-2023 00:00:16.505539,BUY_SELL_SELL, AMPL/USDT, 1.0811, 13.896634385162884,AMPL/BTC, 3.785e-05, 13.896634385162884, BTC/USDT, 28451.0, 0.0005249356362554583,15.0, 14.905073899529835, False,0.7372980117797852,,BSS_AMPL/USDT_AMPL/BTC_BTC/USDT
